gbifID	occurrenceID	phylum	class	order	family	genus	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	day	month	year	taxonKey	speciesKey	recordedBy
850355564	urn:lsid:artportalen.se:Sighting:1091358	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Tullgarns slott V 1. NR	b8323864-602a-4a7d-9127-bb903054e97d	58.956237	17.569026	5000.0	1985-08-01T00:00:00Z	1.0	8	1985	5249504	5249504.0	Genom Michael Krikorev
850355458	urn:lsid:artportalen.se:Sighting:1095558	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Ledarön	b8323864-602a-4a7d-9127-bb903054e97d	59.027051	17.642319	5000.0	1988-09-17T00:00:00Z	17.0	9	1988	5249504	5249504.0	Klas Jaederfeldt
850355435	urn:lsid:artportalen.se:Sighting:1097131	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Trönsjön O	b8323864-602a-4a7d-9127-bb903054e97d	59.0839	17.418567000000003	5000.0	1990-08-18T00:00:00Z	18.0	8	1990	5249504	5249504.0	Genom Michael Krikorev
850355256	urn:lsid:artportalen.se:Sighting:1090023	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Linga	b8323864-602a-4a7d-9127-bb903054e97d	59.072881	17.575	5000.0	1984-07-10T00:00:00Z	10.0	7	1984	5249504	5249504.0	Genom Michael Krikorev
850355053	urn:lsid:artportalen.se:Sighting:1095565	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Gustavslund S	b8323864-602a-4a7d-9127-bb903054e97d	59.088846999999994	17.715406	5000.0	1988-09-18T00:00:00Z	18.0	9	1988	5249504	5249504.0	Genom Michael Krikorev
850354781	urn:lsid:artportalen.se:Sighting:1091074	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Trönsjön O	b8323864-602a-4a7d-9127-bb903054e97d	59.0839	17.418567000000003	5000.0	1984-10-06T00:00:00Z	6.0	10	1984	5249504	5249504.0	Klas Jaederfeldt
850354595	urn:lsid:artportalen.se:Sighting:1088649	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Munkängarnas naturreservat	b8323864-602a-4a7d-9127-bb903054e97d	58.613335	13.387386	1000.0	1980-08-20T00:00:00Z	20.0	8	1980	5249504	5249504.0	Stig Jacobsson
850354588	urn:lsid:artportalen.se:Sighting:1095587	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Simonstorp	b8323864-602a-4a7d-9127-bb903054e97d	58.824249	16.108105	5000.0	1989-07-14T00:00:00Z	14.0	7	1989	5249504	5249504.0	Mats Elfström
850354324	urn:lsid:artportalen.se:Sighting:1090022	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Stora Horssjön N	b8323864-602a-4a7d-9127-bb903054e97d	59.093088	17.401553	5000.0	1984-07-01T00:00:00Z	1.0	7	1984	5249504	5249504.0	Genom Michael Krikorev
850354271	urn:lsid:artportalen.se:Sighting:152371	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Craterellus cinereus (Pers.) Donk	SE	Kvarntorpet	b8323864-602a-4a7d-9127-bb903054e97d	58.902133	14.026717000000001	5000.0	1985-08-17T00:00:00Z	17.0	8	1985	2554512	5249528.0	Genom Michael Krikorev
